category_name,month,gmv_created
Automotive & Industrial,2017-01-01,5732.99
Automotive & Industrial,2017-02-01,16513.71
Automotive & Industrial,2017-03-01,18085.63
Automotive & Industrial,2017-04-01,18708.51
Automotive & Industrial,2017-05-01,22163.2
Automotive & Industrial,2017-06-01,33632.52
Automotive & Industrial,2017-07-01,17993.44
Automotive & Industrial,2017-08-01,26205.84
Automotive & Industrial,2017-09-01,22207.92
Automotive & Industrial,2017-10-01,35656.31
Automotive & Industrial,2017-11-01,66059.91
Automotive & Industrial,2017-12-01,55380.32
Automotive & Industrial,2018-01-01,63659.36
Automotive & Industrial,2018-02-01,73445.48
Automotive & Industrial,2018-03-01,73260.03
Automotive & Industrial,2018-04-01,82041.37
Automotive & Industrial,2018-05-01,77817.29000000001
Automotive & Industrial,2018-06-01,86972.56
Automotive & Industrial,2018-07-01,29726.53
Baby Products,2017-01-01,6217.88
Baby Products,2017-02-01,2872.58
Baby Products,2017-03-01,3604.18
Baby Products,2017-04-01,3980.45
Baby Products,2017-05-01,9283.62
Baby Products,2017-06-01,7864.74
Baby Products,2017-07-01,15461.41
Baby Products,2017-08-01,19762.329999999998
Baby Products,2017-09-01,23412.44
Baby Products,2017-10-01,16497.5
Baby Products,2017-11-01,21178.18
Baby Products,2017-12-01,19943.18
Baby Products,2018-01-01,30156.670000000002
Baby Products,2018-02-01,26046.239999999998
Baby Products,2018-03-01,41381.04
Baby Products,2018-04-01,49801.91
Baby Products,2018-05-01,33420.65
Baby Products,2018-06-01,31076.12
Baby Products,2018-07-01,8271.07
Electronics & Computers,2017-01-01,12706.58
Electronics & Computers,2017-02-01,28903.85
Electronics & Computers,2017-03-01,52870.05
Electronics & Computers,2017-04-01,36855.17
Electronics & Computers,2017-05-01,67417.32
Electronics & Computers,2017-06-01,53657.05
Electronics & Computers,2017-07-01,61896.39
Electronics & Computers,2017-08-01,94490.26000000001
Electronics & Computers,2017-09-01,125536.22
Electronics & Computers,2017-10-01,123891.86
Electronics & Computers,2017-11-01,133504.09
Electronics & Computers,2017-12-01,89287.6
Electronics & Computers,2018-01-01,134594.74
Electronics & Computers,2018-02-01,149754.54
Electronics & Computers,2018-03-01,148680.06
Electronics & Computers,2018-04-01,115311.19
Electronics & Computers,2018-05-01,108508.94
Electronics & Computers,2018-06-01,98825.51
Electronics & Computers,2018-07-01,40345.59
Fashion & Accessories,2017-01-01,10627.34
Fashion & Accessories,2017-02-01,16420.66
