category_name,gmv,margin,take_rate,share,cum_share
Home & Garden,3267669.12,816917.28,25.0,27.812960432284,27.812960432284
Toys & Entertainment,2177106.67,653132.001,30.000000000000004,18.530573153493453,46.34353358577745
Electronics & Computers,1677037.01,218014.8113,13.0,14.274200443711345,60.617734029488794
Health & Beauty,1411311.47,324601.6381,23.0,12.012461675660283,72.63019570514908
Fashion & Accessories,1374695.27,522384.2026,38.0,11.70080070743453,84.3309964125836
Automotive & Industrial,825262.92,222820.9884,26.999999999999996,7.024274520240029,91.35527093282363
Baby Products,370232.19,103665.0132,28.000000000000004,3.151253346981427,94.50652427980505
Small Appliances,217023.42,39064.215599999996,17.999999999999996,1.8472077715564275,96.35373205136148
Stationery & Office Supplies,200110.2,64035.264,32.0,1.7032498916831693,98.05698194304465
Pet Supplies,174816.42,47200.4334,27.0,1.4879603759800324,99.54494231902468
Food & Beverages,53463.49,13365.8725,25.0,0.4550576809753037,99.99999999999999
