dt,dau,sessions,users_view,users_cart,users_purchase,sessions_purchase,gmv,cr_dau_to_dac,cr_session,is_peak
2019-11-01,14870,25277,14117,3891,913,928,37134.18,6.139878950907868,3.6713217549550974,False
2019-11-02,14609,24614,13915,3751,818,826,33607.52,5.599288110069136,3.355813764524254,False
2019-11-03,15525,26337,14845,4045,888,902,36582.87,5.719806763285025,3.4248395792990847,False
2019-11-04,16201,26233,15376,4350,945,956,39564.03,5.832973273254737,3.6442648572408793,False
2019-11-05,18524,32053,17632,4821,1021,1041,41859.68,5.51176851651911,3.247745920818644,False
2019-11-06,17705,29679,16835,4684,1051,1068,42497.6,5.936176221406382,3.5985039927221267,False
2019-11-07,19564,34631,18385,6023,1590,1627,80731.96,8.127172357391126,4.698102855822818,False
2019-11-08,17832,32365,16860,5160,1566,1588,83522.43,8.781965006729475,4.906534837015294,True
2019-11-09,15688,25539,14932,3866,715,726,27384.52,4.557623661397246,2.842711147656525,False
2019-11-10,16142,26350,15298,4127,813,826,31505.08,5.036550613306901,3.1347248576850095,False
2019-11-11,18387,31077,17429,4755,1124,1139,45773.61,6.113014629901561,3.665089937896193,False
2019-11-12,17672,29226,16769,4485,973,990,39656.42,5.505885015844274,3.387394785464997,False
2019-11-13,18113,29590,17249,4708,1092,1111,44419.25,6.028819080218628,3.7546468401486988,False
2019-11-14,17382,28713,16495,4574,1001,1020,39889.73,5.758830974571396,3.5523978685612785,False
2019-11-15,15909,26136,15147,4011,844,858,35068.92,5.305173172418129,3.2828282828282833,False
2019-11-16,14574,22892,13765,3818,804,815,35052.38,5.516673528200906,3.5601957015551284,False
2019-11-17,16086,25777,15289,4225,878,887,37324.53,5.458162377222429,3.4410521007099355,False
2019-11-18,18607,32341,17697,5097,1076,1098,47100.96,5.782769925296932,3.395071271760304,False
2019-11-19,18059,31076,17128,4798,1063,1078,45493.85,5.886261697768426,3.468914918264899,False
2019-11-20,17766,29710,16834,4753,1093,1111,43038.97,6.152200833051897,3.7394816560080777,False
2019-11-21,20405,38453,19248,6785,1723,1748,78108.62,8.444008821367312,4.545809169635659,False
2019-11-22,24265,48431,22386,8878,2315,2352,102854.76,9.54049041829796,4.8563936321777375,True
2019-11-23,19806,37790,18701,6077,1610,1643,70471.66,8.128849843481774,4.347711034665255,False
2019-11-24,20385,38511,19286,5932,2049,2083,87953.9,10.051508462104488,5.4088442263249465,True
2019-11-25,21040,35577,19886,4986,905,922,32914.67,4.301330798479087,2.5915619641903476,False
2019-11-26,20188,33103,19230,4680,951,971,38881.74,4.710719239151971,2.9332688880161917,False
2019-11-27,19428,33725,18503,4723,959,984,40187.98,4.936174593370393,2.9177168272794662,False
2019-11-28,23660,43606,22039,7588,1897,1941,77470.54,8.01775147928994,4.45122230885658,False
2019-11-29,21762,41308,20380,6732,2002,2036,78182.87,9.19952210274791,4.928827345792582,False
2019-11-30,18667,32445,17671,5187,1419,1442,57273.74,7.601649970536241,4.444444444444445,False
