category_id,users_view,users_cart,users_purchase,cr_view_to_cart,cr_cart_to_purchase,cr_view_to_purchase
1487580005092295511,27268,17467,7038,64.1,40.3,25.8
1487580013950664926,25266,4026,1158,15.9,28.8,4.6
1487580008246412266,21886,7541,2917,34.5,38.7,13.3
1602943681873052386,19939,10406,3757,52.2,36.1,18.8
1487580006300255120,18853,2889,846,15.3,29.3,4.5
1487580013841613016,17510,4075,1520,23.3,37.3,8.7
1487580007675986893,17440,11504,4770,66.0,41.5,27.4
1487580005268456287,17161,13589,5846,79.2,43.0,34.1
1487580005595612013,14679,10979,3767,74.8,34.3,25.7
1487580006317032337,13788,10078,4591,73.1,45.6,33.3
1487580008263189483,11889,4215,1496,35.5,35.5,12.6
1487580005671109489,10714,8520,2763,79.5,32.4,25.8
1487580008145748965,9002,6441,3032,71.6,47.1,33.7
1487580009445982239,8614,7591,3690,88.1,48.6,42.8
1487580009051717646,8002,2012,730,25.1,36.3,9.1
